=== RichFeatureQueries_Full_2026.xlsx / Initiative Group Stats ===
PI | Roadmap Initiative Group | Initiative Count | Feature Count | Estimate
PI29 | CORE DATA HUB CAPABILITIES | 2 | 2 | 640
PI29 | CORE REVENUE MANAGEMENT CAPABILITIES | 3 | 5 | 4371
PI29 | CORE SELF SERVICE CAPABILITIES | 2 | 2 | 3883
PI29 | CORE SUPPORTING CAPABILITIES | 8 | 18 | 5497
PI29 | REFERENCE IMPLEMENTATIONS | 6 | 14 | 4071
PI29 | NON-FUNCTIONAL REQUIREMENT COVERAGE | 10 | 32 | 24820
PI29 | OTHER ACTIVITIES | 16 | 24 | 23394

=== RichFeatureQueries_Full_2026.xlsx / Initiative Stats ===
PI | Roadmap Initiative Group | Roadmap Initiative | Total Estimate | Features | P1 | P2 | P3
PI29 | OTHER ACTIVITIES | SECURITY | 1227 | 2 | 1 | 0 | 0
PI29 | CORE SUPPORTING CAPABILITIES | UI CONFIGURATION | 597 | 2 | 1 | 0 | 1
PI29 | NON-FUNCTIONAL REQUIREMENT COVERAGE | ACCESSIBILITY | 40 | 1 | 0 | 0 | 1
PI29 | CORE REVENUE MANAGEMENT CAPABILITIES | EXEMPTIONS | 130 | 1 | 0 | 0 | 1
PI29 | CORE SUPPORTING CAPABILITIES | REFERENCE DATA | 864 | 3 | 0 | 0 | 3
PI29 | NON-FUNCTIONAL REQUIREMENT COVERAGE | TEST SUITE OPTIMIZATION |  | 1 | 0 | 0 | 1
PI29 | CORE DATA HUB CAPABILITIES | AEOI, VIDA & OTHER DATA STORAGE | 400 | 1 | 0 | 0 | 1
PI29 | NON-FUNCTIONAL REQUIREMENT COVERAGE | RELIABILITY | 14 | 1 | 0 | 0 | 1
PI29 | NON-FUNCTIONAL REQUIREMENT COVERAGE | EXTENSIBILITY |  | 1 | 0 | 0 | 1
PI29 | CORE SUPPORTING CAPABILITIES | CONTACT MANAGEMENT | 1662 | 5 | 1 | 0 | 4
PI29 | REFERENCE IMPLEMENTATIONS | CIT | 14 | 1 | 0 | 0 | 1
PI29 | OTHER ACTIVITIES | MANAGEMENT | 9677 | 13 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | RELEASE ACTIVITIES | 832 | 4 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | PMO support | 144 | 1 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | PREVENTIVE MAINTENANCE | 2400 | 1 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | PROJECT SUPPORT | 776 | 4 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | CORRECTIVE MAINTENANCE | 560 | 1 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | CEREMONIES AND TRAININGS | 3200 | 2 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | PMO & Analysis | 2160 | 2 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | Business Owners | 1800 | 1 | 0 | 0 | 0
PI29 | OTHER ACTIVITIES | SUPPORT TO PDM | 8 | 1 | 0 | 0 | 0
PI29 | NON-FUNCTIONAL REQUIREMENT COVERAGE | OPERABILITY |  | 1 | 0 | 0 | 0
